bank,area,jenis,id_mesin,nama_mesin,status
BTN,UTARA,CRM,HTC0017611,MKK KC PLUIT,FAILED
BNI,UTARA,CRM,S1JTPR060,PT. JICT CRM,AKTIF
BNI,UTARA,CRM,S1JTPR005,KOLINLAMAIL CRM,AKTIF
BNI,UTARA,CRM,S1HTPR004,KLN ARTHA GADING CRM,AKTIF
BNI,UTARA,CRM,S1DKRMR007,CRM TOYOTA MTR MANUFACTURING,AKTIF
BNI,UTARA,CRM,S1GRMAR004,CRM GAL PERUM MUARA BARU,AKTIF
BNI,UTARA,CRM,S1HKAGR004,KLN WISMA MITRASUNTER CRM,AKTIF
BNI,UTARA,CRM,S1AKAGR009,RS ISLAM SUKAPURA,AKTIF
BNI,UTARA,CRM,S1HTPR007,KCU TANJUNG PRIOK CRM,AKTIF
BNI,UTARA,CRM,S1HTPR008,KCP TELUK GONG,AKTIF
BNI,UTARA,CRM,S1GRMAR015,KCP LANDMARK PLUIT,AKTIF
BNI,UTARA,CRM,S1HJKTR031,INDOMARET PADEMANGAN 3,AKTIF
BNI,PESISIR,CRM,S1FRMAR019,SUPERINDO MUARA KARANG,AKTIF
BNI,PESISIR,CRM,S1FRMAR020,INDOMARET MUARA BARU,AKTIF
BNI,UTARA,CRM,S1JTPR061,INDOMARET KEBANTENAN,AKTIF
BNI,UTARA,CRM,S1JTPR062,CERIAMART KEBANTENAN,AKTIF
BNI,UTARA,CRM,S1JTPR063,INDOMARET WARAKAS VII,AKTIF
BNI,UTARA,CRM,S1JTPR067,TOKO RAMAH LAGOA,AKTIF
BNI,UTARA,CRM,S1JTPR068,PERUMAHAN STIP 1,AKTIF
BNI,UTARA,CRM,S1HTPR071,ALFAMART GADANG WARAKAS,AKTIF
BNI,UTARA,CRM,S1HBKSR127,GADING NIAS RESIDENCE,AKTIF
BNI,PESISIR,CRM,S1IKAGR022,INDOGROSIR PIPAL MART,AKTIF
BNI,UTARA,CRM,S1HJKTR041,APARTEMEN SPRINGHILL,AKTIF
BRI,PESISIR,CRM,63040,KK MUARA BARU,AKTIF
BRI,PESISIR,CRM,63052,KCP MUARA KARANG,AKTIF
BRI,UTARA,CRM,62978,KC PLUIT,AKTIF
BRI,UTARA,CRM,63030,INDOMARET PAPANGGO,AKTIF
BRI,UTARA,CRM,63021,GALERI ATM PASAR PAGI MANGGA DUA,AKTIF
BRI,UTARA,CRM,861081,CRM KCP TELUK GONG,AKTIF
BRI,UTARA,CRM,861144,CRM KC JAKARTA ARTHA GADING,AKTIF
BRI,PESISIR,CRM,861092,CRM KC JAKARTA PANTAI INDAH KAPUK,AKTIF
BRI,PESISIR,CRM,861174,FRESH MARKET PIK,AKTIF
BRI,PESISIR,CRM,861103,CRM CENTRAL MARKET PIK,AKTIF
BRI,UTARA,CRM,861257,CRM KCP KAPUK INDAH,AKTIF
BRI,PESISIR,CRM,861175,CRM KCP MUARA ANGKE,AKTIF
BRI,PESISIR,CRM,161853,CRM GALLERY PPS MUARA BARU,AKTIF
BRI,UTARA,CRM,161832,KK MALL OF INDONESIA,AKTIF
BCA,UTARA,TCR,CKGVTST01,TCR Kelapa Gading Villa 1,AKTIF
BCA,UTARA,TCR,CKGVTST02,TCR Kelapa Gading Villa 2,AKTIF
BCA,UTARA,TCR,CSTDTST01,TCR Sunter Danau 1,AKTIF
BCA,UTARA,TCR,CSTDTST02,TCR Sunter Danau 2,AKTIF
BCA,UTARA,TCR,CTSITST01,TCR Taman Sunter Indah 1,AKTIF
BCA,UTARA,TCR,CTSITST02,TCR Taman Sunter Indah 2,AKTIF
BCA,UTARA,TCR,CLDCTST01,TCR KCP Lodan 1,AKTIF
BCA,UTARA,TCR,CLDCTST02,TCR KCP Lodan 2,AKTIF
BCA,PESISIR,TCR,CELTTST01,TCR Elang Laut 1,AKTIF
BCA,PESISIR,TCR,CELTTST02,TCR Elang Laut 3,AKTIF
BCA,UTARA,TCR,CPDTTST01,TCR KCP Puri Deltamas Teller 1,AKTIF
BCA,UTARA,TCR,CPDTTST02,TCR KCP Puri Deltamas Teller 2,AKTIF
BCA,PESISIR,TCR,CMKUTST01,TCR Muara Karang 2 Teller Cash Recycler 1,AKTIF
BCA,PESISIR,TCR,CMKUTST02,TCR Muara Karang 2 Teller Cash Recycler 2,AKTIF
BCA,PESISIR,TCR,CMKUTST03,TCR Muara Karang Utara 3,AKTIF
BCA,PESISIR,TCR,CMKUTST04,TCR Muara Karang Utara 4,AKTIF
BCA,PESISIR,TCR,CMUATST01,TCR Muara Karang 1,AKTIF
BCA,PESISIR,TCR,CMUATST02,TCR Muara Karang 2,AKTIF
BCA,PESISIR,TCR,CMUATST03,TCR Muara Karang 3,AKTIF
BCA,PESISIR,TCR,CMUATST04,TCR Muara Karang 4,AKTIF
BCA,UTARA,TCR,CJBDTST01,TCR Jembatan II Teller Cash Recycler,AKTIF
BCA,UTARA,TCR,CJBDTST02,TCR Jembatan II Teller Cash Recycler,AKTIF
BCA,UTARA,TCR,CSNRTST01,TCR Sunter Podomoro Teller Cash Recycler 1,AKTIF
BCA,UTARA,TCR,CSNRTST02,TCR Sunter Podomoro Teller Cash Recycler 2,AKTIF
BCA,UTARA,TCR,CKKMTST01,TCR Kapuk Kamal 1,AKTIF
BCA,UTARA,TCR,CKKMTST02,TCR Kapuk Kamal 2,AKTIF
BCA,UTARA,TCR,CGRKTST01,TCR PRJ Altira 1,AKTIF
BCA,UTARA,TCR,CGRKTST02,TCR PRJ Altira 2,AKTIF
BCA,PESISIR,TCR,CCBPTST01,TCR CBD PLUIT Teller Cash Recycler 1,AKTIF
BCA,PESISIR,TCR,CCBPTST02,TCR CBD PLUIT Teller Cash Recycler 2,AKTIF
BCA,UTARA,TCR,CKGTTST01,TCR Mal Kelapa Gading III Teller Cash Recycler 1,AKTIF
BCA,UTARA,TCR,CKGTTST02,TCR Mal Kelapa Gading III Teller Cash Recycler 2,AKTIF
BCA,PESISIR,TCR,CPLTST08,TCR KCU Pluit,AKTIF
BCA,PESISIR,TCR,CPLTST07,TCR KCU Pluit 3,AKTIF
BCA,PESISIR,TCR,CPLTST09,TCR KCU Pluit 2,AKTIF
BCA,UTARA,TCR,CMGDTST01,TCR Mangga Dua I 1,AKTIF
BCA,UTARA,TCR,CMGDTST02,TCR Mangga Dua I 2,AKTIF
BCA,UTARA,TCR,CGSHTST01,TCR Gunung Sahari Teller Cash Recycler,AKTIF
BCA,UTARA,TCR,CGSHTST02,TCR Gunung Sahari Teller Cash Recycler,AKTIF
BCA,UTARA,TCR,CKGMTST01,KCP KELAPA GADING RAYA,AKTIF
BCA,UTARA,TCR,CKGMTST02,KCP Kelapa gading raya,AKTIF
